StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
VA,Suffolk,5176432,84585,13.5,27,16.1,37.2,79.3,6.1,9.5,5.8,77.6,80,65.9,6.4,40.8,33.3,19.1,67.4,11.4,35.7,2.8,24.3,82.9,12.2,33.6,85.2,11.9,41.4,3.3,15.3,"(36.69303679810, -76.6414278469)"
AZ,Scottsdale,465000,217385,7.4,26.6,16.5,29.7,76.7,8.2,9,6.1,70.1,83.1,71.3,5.2,41.4,37.1,11.9,76,8.4,37.7,2.9,16.7,80.5,9.5,23.7,NA,10,31.4,2.7,7.2,"(33.68724936510, -111.865085877)"
OH,Toledo,3977000,287208,13.2,30.8,16.8,35.6,77.2,6,11.1,7.8,74.6,70.6,56.9,9.4,30.6,27.2,26.2,59.2,12.8,34.3,3.4,32.5,78,15.9,37.3,83.9,15.2,42.9,4.1,19.7,"(41.66373996040, -83.5823818449)"
MO,O'Fallon,2954074,79329,10.9,25.1,21.6,27,74.2,5.9,9.1,4.7,69.9,76.7,66.6,5.7,45.4,41,19.2,66.7,7.4,31.8,2.1,19.9,77.9,12,31.4,84.7,10.5,33.4,2.1,10.8,"(38.78522441610, -90.7176856736)"
CA,Santa Rosa,670098,167815,11.5,20.9,17.9,27.6,69.9,6.6,9.2,5.4,63.7,74.9,70.2,5.8,36.5,33.3,14.4,65.7,8.5,33.4,2.7,19.7,76.7,12.4,24,83.5,11.6,33.6,2.7,10.2,"(38.44644231020, -122.706005935)"
TN,Chattanooga,4714000,167674,16.3,30,12.8,40.1,80.1,6.3,10.7,7.4,72.7,76.4,65.2,9.1,31.2,27.5,23.3,58.5,13,37.8,3.4,29.4,79.8,14.8,33.7,84.7,15.5,39.7,4.2,18.5,"(35.06624721650, -85.2466771892)"
CA,Hemet,633182,78657,16.2,29.1,14.6,37.8,75.9,8.1,9.5,9.6,68.6,73.9,66.8,9,29.7,29,16.9,57,13.4,40.2,4.2,28.7,79,13.8,30.3,83.5,16.7,37.7,4.9,18.9,"(33.73522773110, -116.994605005)"
OR,Gresham,4131250,105594,13.9,22.4,19,27.1,71,6.1,10.3,6,60,68.2,64.1,6.7,33.4,26.4,20.4,64.6,9.1,36.1,2.9,18.1,73,14.2,25.2,80.5,12.7,32.4,3.1,17.1,"(45.50242567980, -122.441469029)"
TX,Bryan,4810912,76201,26.6,19.1,17.4,27.6,73.8,4.8,9.5,5.3,68,66.1,60.9,5.6,30.4,31.6,18.9,60.2,9.7,33.7,2.7,25.8,79.8,13.9,32.8,82.3,12.5,36.4,2.9,13.6,"(30.66656875820, -96.3663819223)"
WA,Tacoma,5370000,198397,12,25.5,16.5,32.1,69,6.1,10.6,5.9,63.3,70,64.8,6.5,37.8,33.1,18.2,62.1,9.7,38.4,2.9,20.4,77.3,13.7,32.6,NA,13.1,38,3.1,14.6,"(47.24254114450, -122.454473910)"
CA,Buena Park,608786,80530,13.9,17,15.2,25.7,69.7,4.9,8.1,5,65.4,73.4,63.4,5,37.3,31.4,13.4,62.8,10.3,33.9,2.7,20.9,78.5,11.4,21.8,80.1,11.8,34.2,2.5,10.9,"(33.85721268440, -118.004517591)"
FL,Palm Bay,1254000,103190,20.8,27.5,16.8,33.5,78.9,7,8.6,7.7,77.1,78,59.7,8.9,32,27.9,21.7,55.1,13.1,39.4,3.3,31.3,76.9,14.3,29.7,79,15.3,37.4,3.9,16.8,"(27.98382552490, -80.6666722846)"
CO,Boulder,807850,97385,9.1,15.5,22.7,17.5,63.5,4.6,8.4,3.3,54.2,64.7,65.7,3.5,41.5,37,12.6,69.9,4.2,25.5,1.9,10.1,71.8,10.8,14.9,82.1,8,24.2,1.7,7.9,"(40.02755104940, -105.251517760)"
VA,Alexandria,5101000,139966,12,18.4,19.2,26.1,73.3,5.1,8.1,3.8,71.1,79.5,72.4,3.9,44.2,40.5,13.5,71,7.2,30.2,2.1,17.1,82.9,10,25.2,86.7,8.5,31.9,2,9,"(38.81873515570, -77.0867762661)"
CA,Antioch,602252,102372,12.5,19.3,16.1,27.5,68.7,5.2,9.3,5,63.8,73.3,67.3,5.6,32.3,31.8,15.7,67.5,9.8,33.1,2.7,21.6,78.6,12.8,30,83.1,12.1,35.9,2.7,12.7,"(37.97770429220, -121.796606971)"
MA,Lynn,2537490,90329,13.6,24.5,16.6,29.5,74.8,5.6,11.5,6.6,76.6,73.3,62.6,7.2,26.1,22.4,20.7,63.1,11.7,35.5,3,26.9,78.2,15.2,28.3,83,14.2,39.7,3.3,20.9,"(42.47833228810, -70.9662372538)"
MO,Lee's Summit,2941348,91364,10.1,23.7,21.8,28.9,76.3,6.7,9.1,5.2,71.4,79.1,71.8,5.9,41.5,41.3,17.9,71.6,8.1,37.7,2.3,17.4,78.7,11.5,27.5,81.7,10.8,33.9,2.4,10.8,"(38.91705081280, -94.3814865856)"
MN,Duluth,2717000,86265,8.4,24.2,22.7,24.9,76,6.3,8.6,5.7,68.3,67.2,68.2,5.4,44.8,31.6,19.7,68,8,32.3,2.7,19.7,78.3,11.6,29.7,84.2,11.3,32.3,3,12.9,"(46.78547034270, -92.1342013763)"
WA,Everett,5322640,103019,12.4,23.8,17.1,28.6,67.7,5.6,10.1,5.6,58.2,68.1,60.3,6.6,33.8,29.8,18.3,60.2,8.6,35.9,2.8,19.8,72.4,12.9,31.4,NA,12.2,37.6,2.9,14.1,"(47.94979661890, -122.160703911)"
MN,St. Paul,2758000,285068,11.1,19.2,20.1,23.5,72.7,5,8.5,4.7,67,69.4,65,4.4,35.5,31.8,17.6,68.1,8.2,29.9,2.5,19.3,81.9,11.3,29.7,81.6,10.2,30.5,2.7,14,"(44.94774025580, -93.1039958305)"
GA,Roswell,1367284,88346,14.6,19,17.5,28.9,73.5,6.2,7.5,4.6,73.4,81.6,68.6,4.8,38.7,41.4,13.3,73,7.7,33.4,2.3,20.3,81.8,9.9,22.1,84.4,9.3,32.7,2.2,8.3,"(34.03913845830, -84.3512225277)"
VA,Chesapeake,5116000,222209,12.2,24.6,16.6,32.9,77.9,5.8,9,5.3,76.4,79.3,71.8,5.7,45,35.4,17.2,72.5,10.3,35.5,2.6,22.6,82.3,11.7,32.8,86,10.8,38.1,2.8,13,"(36.67775211180, -76.3024325925)"
CA,Livermore,641992,80968,8.2,18.7,21.5,23.8,68.9,6,8.8,4.5,65.5,79.1,72.6,4.7,38.1,37.1,13.4,72.4,7.5,29.9,2.3,15.2,79.3,10.7,21.3,84.6,9.9,32.7,2.1,8.1,"(37.68651013610, -121.764357841)"
CA,Carlsbad,611194,105328,6.1,19.2,21.3,26,71.4,6.9,7.8,4.9,67.2,81.8,75,4.4,33.6,37,10.5,78.3,7.4,32.8,2.4,13.4,81.9,9.8,18.5,87.5,8.9,30.1,2.3,6.2,"(33.12480510260, -117.282903303)"
PA,Pittsburgh,4261000,305704,9.3,27.4,22.8,30.7,77.7,5.8,10.7,5.9,71.9,71.1,61.7,6.5,46.1,37.7,20.1,58.9,9.7,34.9,2.8,22.5,79.4,13.5,30,81.7,12,39.4,3.3,17.1,"(40.43962974860, -79.9762614995)"
TX,Grand Prairie,4830464,175396,25.7,18.9,17.6,29,71.7,4.5,9,4.9,68.4,69.6,58.3,5.2,32,28.2,17.7,58,10.4,34.6,2.6,28.2,75.3,12.4,33.1,80.3,11.7,35.4,2.6,15.4,"(32.68676502380, -97.0209311916)"
TX,Allen,4801924,84246,12.4,18.4,19.4,24.2,70.7,5,7.9,3.7,69.5,78.4,65.1,3.8,38,38.3,13.8,69.3,7.3,33.7,1.9,19.1,77.7,10,27.3,81.6,8.6,33.3,1.8,8.1,"(33.10870432340, -96.6735373763)"
CO,Fort Collins,827425,143986,10,17,21.4,18.5,64.3,5,9.1,3.7,56.7,67.4,66.1,4.1,40.3,31.5,15.1,66.7,4.7,25.5,2,12.2,74.2,11.4,21.6,80.3,9.1,26.6,2,9.4,"(40.54877589240, -105.065904872)"
CA,Anaheim,602000,336265,17,16.7,16.3,25.2,67.2,4.7,8.4,4.9,63.8,70.3,63.5,5.2,36.7,30.2,14.2,60.4,10,33.4,2.7,21.7,78.8,12.3,24.1,81.9,12.5,34,2.5,12.3,"(33.83890769960, -117.857613481)"
CA,Pomona,658072,149058,21.6,16.4,16.6,25.9,65.3,4.1,8.6,4.8,63.3,68.1,56.9,5.2,23.8,29.6,14.7,54,10.7,32.5,2.9,24.9,79.2,13.9,27.9,84.4,13.7,37.9,2.8,13.5,"(34.05850263660, -117.762551658)"
FL,Boca Raton,1207300,84392,14.1,24.8,18.5,28.9,79.3,8.5,6.9,6.9,78.8,82.4,69.5,6.2,37.8,37.4,12.3,77.5,9.5,38.6,2.8,23.3,80.7,10.1,20.5,85.1,11.1,34.5,2.9,7.4,"(26.37490127150, -80.1078208861)"
PA,Philadelphia,4260000,1526006,13.9,25.7,21,32.9,76.4,5.4,11.6,6.3,73.7,71.2,61.9,7,39.2,27.8,22.5,54.7,12.2,34.6,3.3,27.1,80.6,15.3,29.3,81.3,14.6,42.2,3.9,19.1,"(40.00931478080, -75.1333888571)"
CT,Danbury,918430,80893,12,21,18.7,25.3,70.7,5.7,9.3,5,67.9,76.2,69.7,5.4,33.6,31.9,16.3,70.9,8.1,33.7,2.5,21.7,81.6,12.4,25.3,NA,11.5,36,2.4,9.8,"(41.40158986060, -73.4709386820)"
SC,Mount Pleasant,4548535,67843,8.8,23.9,22.2,28,76.6,6.9,7.9,4.9,64.1,82.4,75.3,4.8,53,42.3,13.2,74.2,7.9,35.5,2.3,16.6,79.1,10.7,24.8,83.9,9.5,29.5,2.2,7.4,"(32.85382745840, -79.8230343029)"
WA,Spokane Valley,5367167,89755,9.6,25.5,18.1,30.2,71.9,7.2,10.7,6.5,63.6,73,66.8,7.4,37.3,34.9,18.6,63.9,9.6,37.9,3,19,79.4,13,30.1,NA,13.1,31.8,3.2,15.8,"(47.66255657400, -117.234571922)"
HI,Honolulu,15003,953207,10.1,20,17.7,31.5,75.4,5.5,9.5,5,71.7,71.4,67.5,4.1,31.4,30.4,13.7,72.3,10.3,36,2.9,21.6,80.3,9.6,22.8,81.5,9.4,46.9,2.5,6.8,"(21.45880393050, -157.973296737)"
TX,Missouri City,4848804,67358,15.7,20.4,16.1,32.1,78.3,5.3,8.6,4.6,73.3,79.1,65.4,4.3,34.6,35.1,13.8,67.8,11.2,35.5,2.5,22.1,80.2,9.8,32,82.1,9.8,35.4,2.5,9,"(29.56367466100, -95.5382066661)"
DC,Washington,1150000,601723,7.8,18,24.3,28.2,74.7,4.8,10.1,4.3,78.6,77.2,67.4,5.1,31.7,27.8,17.3,74.7,8.9,30.9,2.6,17.2,82.1,11,25.2,87.3,9,36.4,3,14.4,"(38.90992414260, -77.0147205666)"
TX,San Angelo,4864472,93200,23.4,22.6,18.1,29.9,76.7,6,8.8,6.3,67,69.6,59.5,6.1,35,31.1,17.4,58.9,11.1,37.5,2.9,27,74.6,12.2,30.9,80,12.5,34,3,14,"(31.44046874600, -100.452243142)"
CA,Tustin,680854,75540,12.7,15.3,16.8,23.1,66.4,4.7,8,4.2,64.4,73.3,67,4.4,39.9,33.2,12.5,66.4,8.4,31.5,2.3,18,79.6,10.9,21.6,82.7,10.5,33,2.1,9.7,"(33.73085203260, -117.810730968)"
OH,Parma,3961000,81601,9.1,28.6,18.5,32.5,80.7,7.6,9.3,7.5,73.3,77,64.3,8.1,38.7,32.8,22.5,70.1,9.7,35.3,2.9,24.8,74.6,12.3,27.4,81.1,12.4,34,3.3,16.5,"(41.38423998380, -81.7285991530)"
RI,Warwick,4474300,82672,7.1,31.5,17.9,35,81.2,7.6,11.3,6.5,82,83,70.9,7.5,38,34.1,18.8,72.7,9.4,36.3,2.7,22.4,82.9,12.8,28.7,NA,12.6,35.7,2.9,11.8,"(41.70647273010, -71.4345615049)"
AZ,Phoenix,455000,1445632,18.9,22.6,16.5,27.5,69.2,5.2,10.3,5.5,64.3,70.7,59.7,6.1,33.7,30.3,18.6,59.3,9.8,35.4,3.1,25.6,79.5,13.9,30.1,NA,13.6,37.3,2.9,14.3,"(33.57241386950, -112.088995222)"
UT,West Jordan,4982950,103712,13.8,16.7,17.1,20,62.4,4.4,9,3.3,59.8,65.7,67.8,3.8,34,34.1,12,71.4,6.1,29.9,2,15.5,77.5,12.4,25.9,78.9,9.4,31.4,1.8,10.1,"(40.60225986350, -112.000961848)"
CA,Milpitas,647766,66790,9.2,13.1,13.1,22.2,68.3,4.2,6.7,3.7,64.5,76.3,68.2,3.1,33.6,34.1,10.1,70.2,8.8,30.4,2,20.3,78.5,8.6,16,77.5,8.1,34.2,1.7,7.3,"(37.43386976300, -121.892083025)"
CO,Colorado Springs,816000,416427,11.4,24.1,16.3,24.6,69.5,6.1,9.5,5,62,73.7,65.8,5,34.7,29,16.3,66.8,7.1,33.4,2.5,16.6,73.5,11.6,24.1,82.2,11.2,30.3,2.6,11.6,"(38.86727480770, -104.760664479)"
FL,Port St. Lucie,1258715,164603,21.2,25.2,17.1,32.3,77.8,6.9,8.2,7.7,76.9,78.1,66.4,8.3,31.3,34.6,20.2,63.4,11.8,36.7,3.2,31.4,81.2,12.8,30.6,83.6,14.4,37,3.7,15.1,"(27.28086803080, -80.3832154574)"
IL,Bolingbrook,1707133,73366,12.3,19.6,19.8,27.4,71.6,4.7,9,4.3,67.9,74.8,60.7,4.8,32.5,27.9,16.9,63.9,8.8,32.5,2.3,24.1,77,10.7,34.7,83.7,10.6,34.6,2.2,14,"(41.69116539080, -88.1011218035)"
CA,Huntington Beach,636000,189992,8.2,18.9,18.1,25.8,71,6.4,8.2,5.1,67,79.2,72.1,5,43.7,36.5,12.1,72.5,8.5,33.8,2.5,15.2,79.7,10.3,21.1,83.6,10.4,30.7,2.4,7.7,"(33.69527490770, -118.001810806)"
FL,St. Petersburg,1263000,244769,18.3,25.1,18.9,32.5,77.9,7,8.1,7.1,76.9,78.7,64.3,7.8,34,33.9,20.3,60.4,10.8,34.6,3.1,27.8,78.2,13,29.4,79.2,13.3,39.8,3.7,16.1,"(27.79289497100, -82.6650743239)"
MI,Warren,2684000,134056,12.6,33.4,18.6,35.6,77.3,7.6,11.4,8,72.2,76.2,61.7,9.9,27.8,29.5,25.7,63.5,11.6,40.3,3.4,27.4,77.1,15.3,34,82.9,16,39.1,3.9,14.9,"(42.49342330340, -83.0270075248)"
CA,Fontana,624680,196069,19.3,15.9,18.2,26.3,63.4,3.8,9.3,4.4,62.7,69.4,58.5,4.9,24.4,26.3,15.2,57.5,9.8,32.3,2.7,23.6,82,13.6,28.2,83.3,12.6,39.5,2.4,16.4,"(34.09742278330, -117.459241285)"
NY,New Rochelle,3650617,77062,12.3,24.4,18,28.7,75.3,6.4,10.4,5.9,72.5,78.8,68.5,5.9,37,32.6,14.1,67.7,9.8,36.8,2.8,25.7,78.8,10.9,23.8,83.5,11.5,34.9,2.9,13.9,"(40.93217131410, -73.7843883178)"
MA,Fall River,2523000,88857,11.2,31.3,16.4,34.3,78.6,7.1,13,8.1,78,74.8,66.6,10.6,31.4,22.9,27.2,58.6,11.2,39.6,3.4,30.6,82.5,18.2,30.6,82.5,16.5,39.7,4.1,27,"(41.71399075980, -71.0996396919)"
MO,St. Joseph,2964550,76780,16.3,29.3,18.6,33.9,77.5,6.8,10.1,7.1,69.8,71.3,56.7,8.9,37.3,33.5,26.7,51.6,10.9,39.6,3,30.1,74.4,15,40.9,80.9,16,34.8,3.5,19.8,"(39.75983121790, -94.8209246813)"
IL,Elgin,1723074,108188,17.8,21.1,20.2,27.4,71.8,5.1,9.1,5.2,66.2,71.7,57.3,5.7,29.8,31.8,18,63.3,9.6,35.1,2.7,25.6,77.6,12.1,33.1,84.1,12.3,34.4,2.6,14.3,"(42.03854024720, -88.3224947104)"
OR,Medford,4147000,74907,13.2,27.6,18.1,30.4,73.5,7.4,10.9,7.5,63.3,70.1,63.5,8.1,32.9,28.6,21.2,59.8,10.3,38.6,3.3,18.8,74.1,14.4,28.1,80.6,13.8,33.7,3.8,15.9,"(42.33719875840, -122.853625909)"
CA,Union City,681204,69516,10.3,16,15.5,25,71.8,4.7,7.5,4.2,66.4,75.6,67.4,3.7,32.1,32.7,11.9,66.7,9.7,31.4,2.3,19.3,77.9,9.6,17.1,78,9.1,36.5,2.1,8.6,"(37.60283908120, -122.018966106)"
CA,Temecula,678120,100097,9.2,17.6,21,24.8,66,5.2,8.3,4.2,65.1,76.3,70.9,4.4,35.3,36.6,13.5,71.3,7.4,30.5,2.2,17.5,81.2,11.1,25,84.8,9.9,37.1,2,8.9,"(33.50299808840, -117.122390280)"
TX,Corpus Christi,4817000,305215,27.4,23.9,18.1,32.5,76.7,5.4,8.6,6.5,69.8,72.3,60.4,6,31.5,29.8,16.7,56.9,14.4,38.2,3.2,30,79.8,12.2,37.2,82.3,14.1,33.9,3.1,15.1,"(27.72915883370, -97.4019095379)"
TX,McAllen,4845384,129877,34.5,19,14.5,30.4,75.1,4.6,7.7,6.2,64.5,69.3,54.3,5.4,29.5,26,13.9,54.1,12.8,38.1,3.5,27.9,78.2,12,31.4,81.7,13.3,32.5,3.1,13.6,"(26.21862899420, -98.2451704536)"
TX,Lubbock,4845000,229573,22.7,21.1,18.6,29.6,72.8,5.2,9.2,5.5,66.6,66.7,60.6,5.7,31.3,28.1,17.9,52.2,9.7,36.7,2.7,27.5,76.8,13.1,35.2,79.5,11.8,35,2.8,14.4,"(33.56662511780, -101.886335663)"
MI,Westland,2686000,84094,11.6,30.1,21.6,33.6,75.5,7.3,11.1,7,71.4,76.9,66.4,8.9,33.2,32,22.9,69.1,9.6,38,3,23.9,78.9,14.4,32.8,83.3,13.9,40.1,3.4,13.1,"(42.31922204550, -83.3805461719)"
IL,Chicago,1714000,2695598,16.4,20.7,21.5,31.5,73.2,5,9.9,5.3,69.4,72.7,56.9,5.8,30.9,24.6,17.6,57.5,10.9,34,3.1,26.4,78.5,12.2,33,86,12.4,36,3.3,16.7,"(41.83729506150, -87.6862308732)"
CA,Torrance,680000,145438,7.6,17.8,15.8,26.3,72.2,6.2,7.1,4.6,69,82.2,68.3,4.1,33.3,39.9,9.7,72.7,8.7,33.5,2.4,15.8,79,9,18.4,83.1,9,34.4,2.2,6.2,"(33.83459854640, -118.341641983)"
KS,Kansas City,2036000,145786,25.2,23.5,14.3,35,75.2,5.5,10.7,6.8,65.7,66.9,54.6,7.9,29.3,23.8,25.1,51.9,12.9,38.9,3.4,35.3,73.9,13.6,43.6,78.7,13.6,37,4,21.8,"(39.12346214090, -94.7441921112)"
MS,Gulfport,2829700,67793,20,29.1,12.6,40.8,77.8,5.8,9.2,7.4,72.4,71.6,54.4,7.9,33.2,29.8,24,55.1,12.6,36.6,3.4,30.2,73.7,15,39.1,84.2,14.6,38.2,4.1,22.6,"(30.42737700800, -89.0701908439)"
LA,Lafayette,2240735,120623,14.5,24.4,18.4,35.4,79,5.8,9.2,6.5,70.4,72,63.4,7,30,28.9,21.7,58.5,10.7,35.8,2.9,26.7,79.7,13.7,32.6,82.9,12.9,37.2,3.4,17.1,"(30.21205828150, -92.0317532321)"
CO,Aurora,804000,325078,15.8,21.5,17.6,26.9,68.4,5.1,9.2,4.7,58.7,71.7,60.2,5.1,35.3,33.2,18.6,62.8,7.5,31.3,2.6,19.4,73.3,12.1,25.5,81.7,10.9,31.8,2.7,13.8,"(39.70915947810, -104.726526621)"
VA,Lynchburg,5147672,75568,14.6,23.7,15.6,31.3,77.5,5.9,9.7,6.1,73.6,71,64,6.7,36.4,32.6,19,66.2,10.4,35.4,2.9,24.7,81.7,13.7,29.9,84.4,12.2,36.4,3.4,16.7,"(37.40041630160, -79.1911081000)"
NE,Omaha,3137000,408958,16.2,22.7,21.7,29.4,76.6,5.8,8.6,5.7,65.2,69.6,63.2,6,41.2,35,19.6,67,8.9,35,2.8,24.5,76.5,11.1,33.2,80.1,10.8,31.7,3,15.7,"(41.26423091110, -96.0415076441)"
MA,Quincy,2555745,92271,7.1,23.6,17.4,29.4,77.5,6.1,9.8,5.6,77.2,77.9,66.1,5.6,29.4,29.3,15.9,70.3,8.6,33.8,2.5,20.4,81.5,11.8,24.1,80.7,10.4,34.2,2.6,14.3,"(42.24929819180, -71.0218764062)"
NY,Albany,3601000,97856,11,22.9,18.5,28.9,72.8,5.3,11.9,5.4,74.3,70.5,68.4,6.3,36.8,32,19.5,63.7,9.4,32.1,2.6,24.6,80.8,13.4,31,84.6,11.6,37.7,3,14.5,"(42.66639696040, -73.7986826267)"
MI,Farmington Hills,2627440,79740,7.3,27.9,17.9,32,77,7.8,9.4,6.1,73.3,82.4,70.4,6,36.7,31.1,14.9,79.5,8.9,38.8,2.7,18.8,78.8,10.2,24.3,86.5,10.7,33.2,2.8,8,"(42.48599569920, -83.3771159714)"
CO,Loveland,846465,66859,9.9,23.7,19,24.9,71.5,7.2,8.9,5.5,61.1,76.6,66.9,5.3,40.3,32.1,15.7,68,6.5,30.6,2.6,14,72.7,10.6,23.4,80.6,11,26.7,2.8,9.9,"(40.41656937580, -105.061758435)"
CA,Hawthorne,632548,84293,18.4,16.8,16.4,27.8,66.1,4.1,9.3,4.5,66.1,70.8,59.3,5.2,24.4,30.5,15.4,55.3,10.7,31.2,2.9,23.5,80.5,13.8,29.8,85.8,13.1,39.9,2.9,12.9,"(33.91466770100, -118.347667728)"
TX,Irving,4837000,216290,25.4,17.6,17.7,27,69.8,4.3,8.5,4.8,67.1,67.6,57.1,5,31.6,27.9,16.6,58.8,9.4,33.9,2.5,26.8,73.6,12.1,30.6,79.8,11.1,33.7,2.5,15.8,"(32.85838081310, -96.9703058323)"
AZ,Tempe,473000,161719,12.4,17.8,19.3,21.6,65.6,4.5,9.9,4,63.1,67,64.7,4.6,37,33,15.8,65.8,6.6,30.5,2.3,19,80.4,12.9,24.7,NA,9.9,35,2,10,"(33.38826403070, -111.931802302)"
WA,Yakima,5380010,91067,20.7,25.5,15.4,30,70.4,6.3,10.6,7.1,58.6,64.8,58.9,7.8,31.3,28.6,18.8,57.4,11,37.9,3.6,24.7,73.9,14.9,33.9,NA,15.5,33.3,3.8,17.6,"(46.59257920920, -120.547807614)"
FL,Coral Springs,1214400,121096,18.8,19,19.1,27.3,72.5,5.5,7.6,4.9,75.4,78.9,61.4,5.7,33.9,29.6,15.6,66.6,9.1,34.4,2.4,24.3,82.7,12.2,25.6,81.5,11.3,36.6,2.5,12.2,"(26.27017001580, -80.2592221493)"
MI,Ann Arbor,2603000,113934,9,18.3,23,19.1,68.1,4.6,9.8,3.6,66.1,66.4,73.4,4.4,38.6,41.2,13.2,75.5,5.7,29.3,1.9,15.7,84.1,12.3,23.4,83.6,7.9,31.1,1.7,6.6,"(42.27568335670, -83.7311374448)"
CT,Stamford,973000,122643,10,20.8,18.1,26,72.8,6.2,8.6,4.9,70,79.8,72.7,4.6,35.3,33.4,13,74.8,8.1,33.3,2.5,19.2,83.1,10.4,24.4,NA,10,34.6,2.4,7.8,"(41.10491450130, -73.5589363142)"
CT,Norwalk,955990,85603,10.1,21.7,18.2,26.5,72.9,6.2,8.9,5.1,70.1,80.4,72.2,4.9,34.7,33.8,14,74.3,8.4,33.8,2.5,19.8,82.8,10.9,25.5,NA,10.6,35,2.5,8,"(41.11756316820, -73.4224513123)"
AZ,Yuma,485540,93064,21.6,22.5,15.7,30.6,70.8,5.6,9.9,6.9,64.7,69,53.1,7.1,31.4,26.3,17.6,55.8,11.5,36.9,3.3,27.4,78.5,13.9,35.2,NA,15.3,31.3,3.3,17.7,"(32.59860271170, -114.548368370)"
