StateAbbr,PlaceName,PlaceFIPS,Population2010,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE_CrudePrev,BPHIGH_CrudePrev,BPMED_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,COREM_CrudePrev,COREW_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DIABETES_CrudePrev,HIGHCHOL_CrudePrev,KIDNEY_CrudePrev,LPA_CrudePrev,MAMMOUSE_CrudePrev,MHLTH_CrudePrev,OBESITY_CrudePrev,PAPTEST_CrudePrev,PHLTH_CrudePrev,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,Geolocation
VA,Norfolk,5157000,242803,15.6,21.2,20.2,30.3,74.3,4.7,9.6,5.1,74.7,71.3,64.9,5.8,33.4,32.6,20,62.3,9.9,30.9,2.6,22.6,83.4,13.1,32.7,84.3,11.4,41.2,3,17.3,"(36.89328630060, -76.2567157761)"
CO,Westminster,883835,106114,11.3,20.7,20.7,22.5,66.9,5.5,8.9,4.2,60.6,74.6,65.2,4.3,37.9,34.9,17.2,68.7,6.1,30.6,2.2,15.4,74.5,10.6,24,83.5,9.7,29.1,2.1,11,"(39.88385114750, -105.062645316)"
CA,San Jose,668000,945942,12,15.2,15,23.2,67.2,4.9,7.8,4.3,63.8,74.8,69,4,34.4,33.3,11.6,68,9,30.6,2.3,21.4,79.3,10.2,20.8,81.3,9.9,32.9,2.1,9.1,"(37.30039631760, -121.847228423)"
WI,Madison,5548000,233209,9.9,17,27.4,21.5,68.9,5.1,8.8,4.2,66.6,69,72,4.2,32.2,34,14.5,72.8,6.3,30.1,2.1,15.6,82,11.7,26.1,85.8,9,29.4,2,9.7,"(43.08098656940, -89.3915106344)"
AR,Fayetteville,523290,73580,10.6,17.4,18.5,24.9,68.8,4.6,9.1,4.6,64.7,64.2,59,5.6,36.4,31.4,20.5,59.5,6.6,29.9,2.1,24.6,75.2,14.8,29.8,NA,10.8,34.2,2.1,15.6,"(36.07121173120, -94.1659600436)"
GA,Warner Robins,1380508,66588,20.1,24.4,14.8,36.2,73.8,5.3,9.5,5.9,75.6,74.5,59.4,7.5,32.9,30.8,22.6,58.6,11.6,34.3,3,31,81,14.4,33.6,83.2,13.6,39.1,3.5,20.8,"(32.59851136090, -83.6530271267)"
NJ,Camden,3410000,77344,28.5,24.7,12.7,37.1,74.6,4,11.1,7.1,76.4,66.1,45.2,8.6,21.1,17.5,26,43.1,15.6,35.6,3.8,46.7,79.6,18.3,42.9,84.2,19,49.8,4.5,28.7,"(39.93619100660, -75.1072961899)"
MA,Somerville,2562535,75754,7.2,16.4,21.5,21.2,70.2,4.5,10.1,3.5,71.3,73.1,70,4,33.4,30.8,14.4,69.9,5.7,27.5,1.9,16.7,83.9,11.9,22.3,84.2,8.4,32.4,1.8,14.5,"(42.39057388580, -71.1017450879)"
CA,Chico,613014,86187,9.8,17.8,19.9,24,64.7,5.3,9.7,4.8,62.6,66.6,70.4,5.6,36.5,29.7,15.6,64.8,7.1,31,2.4,17.8,78.4,13.9,23.7,84.4,11,32.7,2.4,12,"(39.75685036680, -121.815983972)"
TX,McKinney,4845744,131117,15.9,19.2,19.8,25,70.5,5.1,8.4,4.2,68.9,75.6,65.4,4.4,37,35.8,15.2,65.7,7.7,33.7,2.1,21.2,77.3,11,29.4,82.1,9.5,33.5,2,11.3,"(33.19888869520, -96.6677029773)"
MI,Wyoming,2688940,72125,14.1,26.2,22.2,28.4,71.7,5.7,10.7,5.7,70.2,71.3,64.6,7.5,38.8,31,21.9,66.3,8.9,34.6,2.7,23.7,80,14,33.2,84.2,13.5,36,2.8,14.5,"(42.89097456610, -85.7067229249)"
CA,Richmond,660620,103701,15.7,19.6,14.2,30,70.7,5,9.5,5.3,64.9,71.7,66.6,5.5,29.8,29.8,15.5,63.1,11.6,33.9,3,24.3,80,12.9,31.6,83.1,12.8,37.2,3.2,14.6,"(37.94797103650, -122.336803759)"
IN,Hammond,1831000,80830,19.9,26.6,16.3,34.5,76.3,5.5,10.6,7.2,65.1,68,53.1,8.2,28.3,21.9,23,50.8,13.1,39.1,3.3,33.5,73.9,14.7,39.1,81.5,15.8,41.2,3.8,23.2,"(41.61714428280, -87.4909551115)"
LA,Kenner,2239475,66702,17.4,25.4,17.7,36,80.1,5.9,8.6,7,72.4,75,62,7.1,29.9,29.6,19.7,58.2,12.1,39.2,3,27.3,80.8,13.2,33.5,83.2,13.1,38.4,3.4,15.5,"(30.01069372010, -90.2550320135)"
VA,Virginia Beach,5182000,437994,11.9,24.6,20.1,29.5,74.4,5.7,8.5,4.8,73.7,78.8,72.2,5.1,43.9,42.6,17.1,74,8.8,33.8,2.3,20.6,82.2,11.4,27.7,82.6,10.1,37.5,2.3,9.9,"(36.75345933390, -76.0589579522)"
TX,San Antonio,4865000,1327407,28.9,21.2,17.4,29.4,75,4.9,8.4,5.9,68.8,70.9,58.3,5.4,30.8,29.1,15.7,55.3,12.7,37,3.2,30.2,77.9,12.5,37.8,82.4,14.1,35,3,15.2,"(29.47214753330, -98.5246763525)"
AR,Jonesboro,535710,67263,11.9,25.7,14.4,33.9,74.8,6.2,9.4,6.6,69.7,70.2,62.7,7.4,41.7,26.8,21.6,58.1,9.8,36.2,2.8,29.3,75.2,15.4,35.2,NA,13.8,32.4,3.1,18,"(35.82081215380, -90.6794991686)"
FL,Miami Beach,1245025,87779,24.1,16.9,18.3,27,76.5,5.7,6.4,5.8,74.7,77.5,56.6,5.2,27.8,24.3,13.4,66.8,9.8,34.9,3,30.5,83.4,10.4,23.8,83.3,10.9,31.2,2.7,10.8,"(25.81671016140, -80.1341952652)"
IN,Fishers,1823278,76794,6.8,18.6,21.4,24.2,68.7,5,9,3.5,66.2,79.2,70.4,3.7,45.5,36.9,13.6,80.8,6.1,30.2,1.7,14.7,77.3,9.4,25.8,84,7.4,31.3,1.5,6.8,"(39.95876352630, -85.9693107020)"
NH,Manchester,3345140,109565,13.2,25.8,17.9,28.5,73.7,6.3,10.9,5.8,71.5,75,67.6,7.1,37.4,32.5,20.8,64,9,34.6,2.6,24.6,79.2,13.4,29.5,NA,12.8,36,2.8,18.7,"(42.98445417130, -71.4445313287)"
NJ,Paterson,3457000,146199,28,22.9,13.7,35.8,73.5,4.3,9.9,6.6,76.1,70,44.3,7.7,22.7,19.2,22.4,52,13.6,35.9,3.6,43.3,77.8,15.7,39.1,83,16.9,43.5,3.9,23.6,"(40.91468749770, -74.1624181271)"
MI,Rochester Hills,2669035,70995,6.8,26.3,19.6,29.2,75.4,7.5,9,5.5,71.6,82.3,71.3,5.5,38.2,32.8,14.6,81.4,7.8,38.4,2.4,17.3,78.2,10,22.5,86,10,31.8,2.3,6.9,"(42.66452567680, -83.1563037157)"
NC,Winston-Salem,3775000,229617,19.7,23.1,15.2,35.3,76.9,6,9.2,6.5,74,76,66,7,37.7,35.2,20.1,58.1,11.8,35.4,3.2,26.1,82.1,14.1,36.7,87.6,12.9,35.9,3.9,18.6,"(36.10294530390, -80.2609889241)"
CA,El Cajon,621712,99478,14,20.8,19.7,28.4,68.8,5.7,9.6,6,63.6,70.4,64.9,7.1,26.8,29.3,18.2,60.6,10,34.4,3.1,22.4,79.7,15.3,24.5,85.1,13.9,35.3,3.4,14.7,"(32.80165819210, -116.960483614)"
FL,Palm Coast,1254200,75180,18.4,28.8,15.1,37.4,81.4,8.7,7.9,8.7,80.1,81.3,67.7,8.7,35.7,31.2,18.8,65.2,13,40.9,3.5,30,79,12.2,27.8,78.7,14.3,34.5,4.2,15.8,"(29.54055909760, -81.2508206143)"
LA,Shreveport,2270000,199311,17.2,28.3,14.8,42.8,81.7,6.1,9.9,7.7,75.6,73.1,58.8,8.2,27.2,28.5,23.2,49.6,14.1,39.1,3.6,31.4,81.9,14.2,42.6,86,14.7,38.1,4.6,21.8,"(32.46716188640, -93.7962236108)"
VT,Burlington,5010675,42417,8.6,17.6,21.8,18.8,67.5,4.6,10.9,4,62.2,63,68.8,4.7,39,31.5,15.4,70.5,5.5,26,2.1,15.9,78.2,13.8,21.9,NA,9.6,28.6,2,13.3,"(44.48762456940, -73.2314828365)"
FL,Tallahassee,1270600,181376,20,15.9,19.9,23.3,68.1,4.3,8.5,4,75.1,65.8,72.2,5.6,37.2,41.2,16.3,63.3,7.4,27.5,2.3,24.9,84.7,14.8,28.4,84.3,10.6,34,2.4,12.8,"(30.45489512110, -84.2526459938)"
WA,Spokane,5367000,208916,10.6,24.4,17.7,29.3,70.5,6.7,11,6.4,62.5,69.8,65.1,7.6,36.4,33.6,19.4,60.9,9.6,37.1,3,19.9,79.7,13.9,30.6,NA,13.5,32.4,3.3,17.5,"(47.67362432590, -117.415973291)"
MT,Missoula,3050200,66788,11.4,21.1,24.4,20.9,71.2,5.6,9.3,4.8,59.5,64.5,60.5,5.4,41.8,32.4,18.5,63.6,6.4,30,2.3,16.8,76,11.8,24.5,82,10.4,28.1,2.4,12.3,"(46.86944024550, -114.009863843)"
CA,Burbank,608954,103340,9.5,18.6,18.4,25.4,69.2,6,8.1,4.8,66.6,79.2,67.7,5,32.2,37.4,12.3,69.1,8.3,32.1,2.5,16.6,79.3,11.1,22.5,85.6,10.7,34.1,2.5,8.5,"(34.18797996050, -118.323429032)"
OH,Cincinnati,3915000,296943,12.2,26.4,16.9,34.1,78.7,5.5,10.9,6.4,75.2,70.2,60.6,7.9,31,27,22.7,58.5,12.8,35.4,3.2,29.5,80.3,15,36.3,86,13.7,42.6,3.9,20.6,"(39.14117471240, -84.5060004524)"
CA,Fresno,627000,494665,18.7,19.6,15.1,28.9,68.5,4.9,9.8,5.8,61.2,66.9,59.3,6.6,31.9,27.5,17.1,55.4,11.5,34.1,3.3,26.2,78.6,14.6,33.7,79.7,14.3,36.5,3.3,17.9,"(36.78267867110, -119.794126569)"
TX,Houston,4835000,2099451,28.5,19.1,16.2,30.4,73.2,4.8,8.8,5.6,67.7,68.2,57.2,5.6,28.2,29.1,16.5,54.2,12.1,36.9,3,29.5,77.2,13,32.6,81.7,12.9,35.8,3.1,17.8,"(29.78066913960, -95.3860033966)"
CA,Hesperia,633434,90173,17.5,21.3,17.2,30.5,67.9,5.1,10.2,6.3,63.5,71,58.5,7.3,25.5,26.4,18.5,54.4,11.3,36.2,3.3,25.5,80.7,15.4,29.9,82.9,15.3,39.3,3.4,19.5,"(34.39734767730, -117.314392219)"
WY,Cheyenne,5613900,59466,15,25.9,16.4,29.9,74,6.5,8.6,5.8,64.2,73.8,61,6.2,35.2,30.3,19.7,69.2,8.7,35.3,2.6,23.7,72.9,11.7,29.2,79.5,11.4,33.1,2.7,13.7,"(41.14608042650, -104.789064332)"
CA,Santa Ana,669000,324528,25.8,15.5,15.7,25,63.4,3.7,8.9,5,60.7,62.9,55.5,5.4,30.1,25,16.4,50.3,11.3,33.7,3,27.3,78.1,14.5,27.6,81.5,14.9,35.8,2.6,16.2,"(33.73669484190, -117.881890237)"
NY,Rochester,3663000,210565,15.4,25.6,16.7,31.4,73.6,5.2,12.6,6.2,68.7,70.5,59.9,8.1,32.6,29.6,24.2,57.2,12,32.4,3.3,31.8,81.8,16.4,38.9,81.4,15.5,39.7,4,22.9,"(43.16798029180, -77.6162348882)"
VA,Hampton,5135000,137436,14.6,26.5,16.7,37.6,79,5.8,9.8,6,78.2,77.2,67.8,6.5,34.3,32.7,19.4,66.3,12.2,34.6,3,24.4,83.7,12.9,35.3,85.6,12.3,43,3.6,17.1,"(37.05330090250, -76.3665945624)"
CA,San Leandro,668084,84950,11.7,19.9,16.1,28.4,73.1,5.8,8.7,5.4,67.5,76.2,67.1,5.1,32.7,31.8,14,64.1,10.6,32.8,2.8,21.1,78.1,11,21.2,80.3,11.3,36.2,2.8,11.3,"(37.70742992620, -122.159061655)"
WI,Appleton,5502375,72623,10.2,22.4,24,27,73.4,6.3,8.9,5.7,69.5,75.2,68.3,5.6,35.1,29.6,17.9,74.1,8.3,33.5,2.5,19.1,78.1,11.9,30.2,83.8,10.9,29.8,2.6,12.8,"(44.27769874570, -88.3897664444)"
KS,Olathe,2052575,125872,12.4,19.5,19.9,24.6,72.2,5.2,8.7,4.1,69.3,75.9,69.1,4.3,38.4,33.1,15.6,74,6.8,34.9,2,16.9,80.1,9.7,26.2,86.2,8,27.6,2,10.3,"(38.88469302100, -94.8192070197)"
NJ,Passaic,3456550,69781,32,20.8,14.4,31.9,70.4,4,9.2,6.4,73.1,66.6,42.2,7.3,23.7,19.4,21.7,50.9,12.4,35.5,3.5,43.6,76.4,15.8,36.8,82,16.7,41.6,3.4,22.7,"(40.85745811090, -74.1281123174)"
GA,Atlanta,1304000,420003,17.7,18.8,16.3,33.4,74.2,4.8,9,5,74.8,74.8,62.6,5.7,29.1,31.3,17.1,62.1,10.9,31.3,2.9,25.8,83.8,12.2,27.9,84.9,11.1,38.4,3.5,19.3,"(33.76265246830, -84.4231419055)"
CA,Redlands,659962,68747,10.5,20,18,28.3,70.2,6.1,9.1,5.3,66.6,77.3,67.8,5.3,32.7,33.2,12.9,67.9,9,34.5,2.7,18.2,82.2,11.7,23.8,83.7,11.1,35.4,2.6,10.4,"(34.05113153170, -117.170935294)"
CA,Citrus Heights,613588,83301,9.9,22,19.6,30.5,68.8,6.6,10.1,6,64.4,73.5,72.5,6.7,32.5,28.4,16.4,65.9,9,33.1,2.9,19.8,78.7,13.2,27.9,82.6,12.7,35.3,3,11.8,"(38.69477883420, -121.287991502)"
FL,Cape Coral,1210275,154305,19.7,26.6,18.3,31.4,78.8,7.4,7.6,7.4,75.8,79.6,65.4,8,36.1,34,17.1,63.3,10.9,36.1,3.1,27.5,78.9,12.3,27.8,82,13.6,33.3,3.4,13,"(26.64485449930, -81.9931108298)"
CA,Santa Maria,669196,99553,25,18.1,16.8,27.9,65.1,4.7,9.5,5.9,60.7,64,58.4,6.4,26.8,25.8,17,53.4,11.1,34.5,3.2,28.1,75.5,15.1,29.2,81.7,15.3,31.6,3.2,18.9,"(34.93337357570, -120.443326954)"
TX,Pasadena,4856000,149043,32.8,19.6,16.9,28.5,71.5,5,8.6,6,65.1,66.7,55,6.2,28.3,29,17.3,52.8,11.5,38.5,3,31.4,74.5,13.9,32.3,80.5,14,34.5,2.9,18.6,"(29.65895114880, -95.1509173148)"
VA,Portsmouth,5164000,95535,15.9,27.5,14.7,38.1,79,6.1,10.2,6.5,77.5,77.1,68.3,7.2,36.9,33.7,22.3,60.5,12.8,35.7,3.2,28,83.7,13.5,36.6,86.3,13.3,44.8,4,19,"(36.84514502280, -76.3552763467)"
CA,Apple Valley,602364,69135,12.9,24.9,16.2,34.2,73.1,6.8,10.1,7.3,67.4,76.7,64.2,7.8,29,30.3,16.8,60.1,11.9,38.5,3.5,23.2,80.9,14,28.1,83,14.7,37.7,3.8,15.7,"(34.53159849480, -117.211012664)"
CA,Carson,611530,91714,13.9,18.3,14.6,30.4,73,5.1,8.1,5,69.6,76.9,64.1,4.7,26,34.1,11.9,62.7,11.8,34.3,2.9,21.3,79.4,10.9,24.1,82.8,11.3,38.4,2.8,9.5,"(33.83740830010, -118.255936422)"
MO,Kansas City,2938000,459787,16.4,25.3,18.5,33.4,76.9,5.7,10.3,6,71.1,72.4,64.3,7.3,34.8,34.3,22.3,59.2,11.4,37.6,2.9,24.9,79.2,14,33,81.7,13.8,38.4,3.5,18.1,"(39.12394139710, -94.5541236795)"
NC,Gastonia,3725580,71741,19.5,27.5,13.8,37.6,78.6,6.6,9.4,7.6,73.8,77.4,63.1,8.2,34.4,32.3,21.5,55.5,12.6,38.4,3.4,27.7,79,14.4,33.8,85.3,15,37.3,4.2,20.6,"(35.24729844310, -81.1836588468)"
NE,Lincoln,3128000,258379,13.2,19.3,24.3,23.9,74.5,5.7,8.3,4.7,63.1,68.5,65.7,4.8,45.4,37.5,17.2,70.2,7.2,33.3,2.4,19.9,75.7,10.7,28.7,83,8.7,28,2.4,10.4,"(40.80961956950, -96.6806742049)"
MN,Minneapolis,2743000,382578,10.5,16,23.9,22.7,70.6,4.6,8.5,4,66.5,68.3,67.1,3.9,36.5,36.6,17.3,68.8,6.7,28.7,2.3,17.6,81.7,10.9,25.3,84,8.8,30.4,2.4,11.5,"(44.96354079670, -93.2678345304)"
AR,Fort Smith,524550,86209,15.8,28.9,13.7,37.9,77.2,6.5,10.2,8.1,70.5,70.4,59.8,9.2,27.4,26.8,25.4,54.7,12.7,39.8,3.4,35.1,76.7,16.9,35,NA,17.4,35.1,4,23.5,"(35.34916926360, -94.3696317306)"
CO,Arvada,803455,106433,9.6,25,20,25,71,7.1,9,5.3,63.5,77.9,66,5,35.5,39.5,16.1,70.5,6.7,33.1,2.5,14.1,76.1,10.3,23.7,82.7,10.4,26.8,2.5,8.8,"(39.83082632930, -105.146327974)"
IL,Decatur,1718823,76122,12.7,30.6,17,37,78.8,7.3,10.6,8,70.6,74.2,58.9,8.7,32,27.5,21.8,56.8,12.3,39,3.6,30.4,74.3,13.8,37.3,82.7,15.4,34.3,4.3,18.7,"(39.85558226450, -88.9336983421)"
NJ,Elizabeth,3421000,124969,26.1,20.8,14.3,32.2,72.6,4.6,8.9,6.2,75.3,70.3,50.4,7,27.4,21.8,20.3,55.6,12,34.5,3.2,40.3,76.5,14.6,34.5,82.7,15.8,44,3.2,19.5,"(40.66644477290, -74.1938679138)"
CA,Vacaville,681554,92428,10.3,19,20.1,27.4,68.6,5.7,9.2,5.2,63.3,75.3,70.8,5.5,35.9,36.7,15.5,70,9,32.3,2.5,19.3,79.3,12,25.3,83.9,11.2,36.2,2.6,10.8,"(38.35972350630, -121.969030460)"
CA,Costa Mesa,616532,109960,12.5,16.1,19,23,65.6,5,8.5,4.5,63.3,72.1,67.5,4.9,40.6,33,13.8,66.2,8,31.1,2.4,17.4,79.6,11.8,22.9,83.8,11.1,32.2,2.2,10.6,"(33.66676513530, -117.913504750)"
KS,Lawrence,2038900,87643,13.7,15.9,20.7,20.4,68.1,4.3,9.5,3.8,61.7,62.2,64.9,4.4,33.4,36.6,16.6,67.2,5.9,28.4,2,17.8,80.3,12.1,26,81.6,8.7,29.2,1.9,10.5,"(38.95993029240, -95.2628259088)"
CA,Fairfield,623182,105321,12.3,18.7,17.6,28,69.5,5.3,9.4,5.1,63.9,73.1,68.5,5.6,34.1,34.1,15.3,66.2,10,32.5,2.7,22,79.3,12.5,25.3,82.7,11.8,37.6,2.8,12.9,"(38.25584463430, -122.039303253)"
UT,Sandy,4967440,87461,9.8,20,16,23.4,69.3,5.9,8.7,4.1,63.6,72.6,72.4,3.9,36.7,36,9.7,76.6,6.9,33.3,2.2,13.8,78.6,10.7,24.2,79.7,9.1,29.1,2.1,8.4,"(40.57022544230, -111.852431062)"
CA,San Francisco,667000,805235,8.8,16,21.6,25,69.6,5.2,7.8,4.5,64.5,75.6,66.1,4,32.7,29.7,11.7,69.7,8.5,32.1,2.4,17.8,79.8,9.9,17.1,82.4,8.9,30.4,2.2,9,"(37.75591366110, -122.440987876)"
FL,West Palm Beach,1276600,99919,23.7,24.3,17,31.9,78,6.7,8,7.1,78.2,77,63,7.4,31.9,31.5,17.1,65.4,12.3,37.7,3.3,31.4,81,12.9,26.6,84.8,14.1,40.6,3.8,12.9,"(26.74787146550, -80.1337397544)"
ID,Boise City,1608830,205671,14.5,21.6,18.4,27.8,64.8,6,9.1,5.1,58.4,71.6,62,5,39.6,33.3,14.1,69,8,36,2.4,17.9,70.5,12.1,24.8,80.4,10.2,27.8,2.5,13,"(43.59843438970, -116.230885189)"
CA,Westminster,684550,89701,13.7,19.1,12.4,29.6,73.6,5.3,7.9,6.1,66.5,73.1,60.7,5.7,34.1,29.1,14.3,58.4,12.7,38,3,24.4,76.6,11.5,19.6,75.9,12.8,35.9,3,13.2,"(33.75215237690, -117.993760054)"
OR,Beaverton,4105350,89803,10.8,21.2,19,24.5,69.5,5.8,9.6,4.7,62.3,72.1,66.1,4.9,33.5,31.2,14.7,68.8,7.3,33.5,2.4,14.7,75.9,11.7,28.5,82,10.1,31.3,2.4,11.6,"(45.47957656740, -122.814973469)"
CA,Downey,619766,111772,17.5,16.6,17.6,25.4,67,4.8,7.9,4.7,65,73.6,62.3,4.6,27.7,33.1,12.1,62.3,9.6,32.2,2.7,21,79.2,11.7,25.5,85.6,11.8,35.6,2.4,10.2,"(33.93786725600, -118.131150116)"
MS,Jackson,2836000,173514,21.9,27.7,11.5,43.9,79.2,5.1,10.1,6.6,79.1,71.3,57.3,7.2,30.8,24.5,21.8,52.4,14.5,34.7,3.6,32.5,79.1,15.1,43.6,88.1,14.6,40.5,4.8,25.2,"(32.31627222000, -90.2124528561)"
ID,Nampa,1656260,81557,23,22.2,15.2,28.6,63.7,5.8,10,6.2,56.5,63.9,51.3,6.5,34.4,23.8,19.1,58.1,9.4,37.3,3,25.3,67.4,14.3,33.6,77.2,13.1,32.9,3.3,19.1,"(43.58293156810, -116.564145085)"
CA,Oxnard,654652,197899,22.3,16.9,17,26.5,66.6,4.3,8.8,5.1,60.9,67.2,62.3,5.3,27.7,28,15.2,56.3,10.8,32.7,2.9,26.9,79.2,13.7,28.3,84.1,13.4,37,2.7,14.7,"(34.19592377310, -119.181876570)"
CA,Pasadena,656000,137122,11.2,17.6,17.1,26,69.9,5.6,7.9,4.6,67.2,78,67.7,4.5,31.3,36.7,11,67.7,8.9,31.7,2.6,17.2,80.7,10.5,22.9,86.2,10.3,34.5,2.5,8.1,"(34.15976348060, -118.138921644)"
CA,Mission Viejo,648256,93305,6.8,19.3,18,26.2,72.1,6.9,8,5.1,68.5,81.6,73.5,4.8,45,37.4,10.6,76.1,8.2,34.1,2.4,13.9,80.2,9.4,20.3,84.3,9.8,29.6,2.3,6.8,"(33.60959768910, -117.655029608)"
CA,Indio,636448,76036,21,21.2,16.9,30.2,68.9,5.5,8.7,6.4,64.3,69.9,66.2,6.2,30.7,30.7,15.5,57.2,11.4,35.6,3.3,27.1,80.4,13.3,31,84.7,14.4,38.3,3.2,14.5,"(33.72980678370, -116.237258141)"
IN,Bloomington,1805860,80405,12.5,15.6,20,19.6,63.2,3.7,10.9,3.8,59.7,53.8,61.9,5.2,33.6,28.5,19.3,57.8,5.8,29.3,2,22.9,74.6,15.5,25.8,77.5,9.6,33,1.9,14.2,"(39.16374582210, -86.5257124351)"
OH,Youngstown,3988000,66982,16.8,34.2,12.5,43.3,81.5,6.6,11.3,9.9,77.6,70.3,51.8,11.6,23.9,21.8,29.5,49.2,18,39.6,4.5,42,81.6,16.8,41,84.1,18.9,45,6,29,"(41.09932866070, -80.6463187081)"
NC,Fayetteville,3722920,200564,17.8,23.5,15.6,34.6,74.4,5.1,9.2,5.5,77,74.2,66.9,6.1,37.2,33.5,18.9,63.7,11,32.7,2.8,23.2,80.7,14,34.2,87.5,11.7,38.3,3.2,17.3,"(35.08513095270, -78.9791676456)"
NC,Durham,3719000,228330,18.1,18.8,15.8,29.7,72.8,4.8,8.8,4.8,73.5,74.6,67.6,5.3,35.4,35.1,16.8,59.5,9.4,30.3,2.6,22.2,82.1,12.7,30.7,84.5,10.8,34.4,2.9,16.2,"(35.98091474020, -78.9059161097)"
OH,Columbus,3918000,787033,11.1,22.2,19,29.7,74.5,5.1,10.1,5.3,72.3,70.5,62.1,6.8,30.5,34.1,22.7,63.8,9.6,31.6,2.6,25.8,80.7,14.6,32,86.7,12,39.1,3,18,"(39.98595004840, -82.9851738516)"
CT,New Britain,950370,73206,14.9,24.4,16.5,31.5,72.2,5.6,11.3,6.4,73.1,72.2,63.6,7.1,31.3,28.5,19.3,67.4,11.1,36.1,3.1,30.7,82.6,14.4,30.4,NA,13.9,36.8,3.3,16.6,"(41.67592265400, -72.7861630705)"
TX,Mission,4848768,77058,36.8,19.3,14.6,30.8,75.1,4.9,7.8,6.4,64.4,68.4,55.5,5.6,31.2,28.1,14.3,53.6,12.4,38.5,3.5,28.4,77.3,12.3,31.2,81.3,13.4,32.5,3.2,14.3,"(26.20334064640, -98.3227705130)"
CA,Ontario,653896,163924,20.1,16.8,18,26.9,64,4,9.4,4.7,62.4,69,58.4,5.3,24.9,26.7,15.6,56.3,10.1,33.2,2.8,24.3,81.6,13.9,28.5,83.1,13.2,39.1,2.5,16.2,"(34.03926494640, -117.606427103)"
